iter	Passed	Remaining
815	30672	6916
816	30713	6879
817	30748	6841
818	30782	6803
819	30817	6764
820	30855	6727
821	30896	6690
822	30932	6652
823	30966	6614
824	31001	6576
825	31035	6537
826	31071	6499
827	31107	6462
828	31142	6423
829	31176	6385
830	31209	6347
831	31243	6308
832	31280	6271
833	31317	6233
834	31351	6195
835	31383	6156
836	31416	6118
837	31449	6079
838	31483	6041
839	31521	6004
840	31555	5965
841	31590	5927
842	31624	5889
843	31658	5851
844	31691	5813
845	31730	5775
846	31765	5738
847	31805	5700
848	31840	5662
849	31873	5624
850	31914	5587
851	31949	5549
852	31983	5511
853	32017	5473
854	32052	5435
855	32092	5398
856	32127	5360
857	32161	5322
858	32198	5285
859	32234	5247
860	32271	5209
861	32305	5171
862	32344	5134
863	32377	5096
864	32411	5058
865	32446	5020
866	32484	4983
867	32518	4945
868	32535	4904
869	32569	4866
870	32604	4828
871	32638	4790
872	32680	4754
873	32714	4716
874	32748	4678
875	32783	4640
876	32820	4603
877	32860	4566
878	32894	4528
879	32928	4490
880	32962	4452
881	32997	4414
882	33036	4377
883	33073	4339
884	33106	4302
885	33140	4264
886	33174	4226
887	33208	4188
888	33250	4151
889	33284	4113
890	33317	4075
891	33349	4037
892	33381	3999
893	33419	3962
894	33454	3924
895	33488	3887
896	33521	3849
897	33555	3811
898	33589	3773
899	33628	3736
900	33662	3698
901	33696	3661
902	33730	3623
903	33767	3585
904	33806	3548
905	33841	3511
906	33875	3473
907	33909	3435
908	33943	3398
909	33978	3360
910	34016	3323
911	34051	3285
912	34087	3248
913	34123	3210
914	34160	3173
915	34205	3136
916	34241	3099
917	34277	3061
918	34313	3024
919	34348	2986
920	34390	2949
921	34426	2912
922	34462	2875
923	34499	2837
924	34537	2800
925	34580	2763
926	34616	2725
927	34651	2688
928	34685	2650
929	34719	2613
930	34764	2576
931	34802	2539
932	34837	2501
933	34871	2464
934	34905	2426
935	34949	2389
936	34984	2352
937	35018	2314
938	35052	2277
939	35087	2239
940	35128	2202
941	35175	2165
942	35213	2128
943	35250	2091
944	35286	2053
945	35327	2016
946	35365	1979
947	35400	1941
948	35437	1904
949	35471	1866
950	35516	1829
951	35551	1792
952	35586	1755
953	35620	1717
954	35655	1680
955	35697	1643
956	35736	1605
957	35771	1568
958	35809	1530
959	35847	1493
960	35888	1456
961	35924	1419
962	35962	1381
963	36000	1344
964	36037	1307
965	36081	1269
966	36118	1232
967	36154	1195
968	36189	1157
969	36225	1120
970	36268	1083
971	36306	1045
972	36347	1008
973	36384	971
974	36423	933
975	36468	896
976	36504	859
977	36540	821
978	36576	784
979	36612	747
980	36651	709
981	36687	672
982	36723	635
983	36760	597
984	36796	560
985	36837	523
986	36871	485
987	36906	448
988	36941	410
989	36976	373
990	37015	336
991	37049	298
992	37083	261
993	37120	224
994	37156	186
995	37193	149
996	37228	112
997	37261	74
998	37296	37
999	37331	0
